year,county_name,fips,total_pop,total_pop_15to64,total_jail_pop,female_jail_pop,male_jail_pop,jail_rated_capacity,total_jail_pretrial,total_jail_sentenced,total_jail_adm,black_jail_pop,latinx_jail_pop,white_jail_pop,aapi_jail_pop,native_jail_pop,total_jail_pop_rate,total_prison_pop,female_prison_pop,male_prison_pop,black_prison_pop,latinx_prison_pop,white_prison_pop,aapi_prison_pop,native_prison_pop,total_prison_pop_rate,total_prison_adm,total_incarceration,total_incarceration_rate,fiscal_year_ending,total_governmental_expenditures,public_protection_expenditures,public_protection_pct_of_govt_expenditures,probation_expenditures,felony_probation,misdemeanor_probation,total_probation
2000,Alameda,06001,1449840.0,1001712.0,4166.0,481.6,3712.9,4382.4,2951.2,1214.8,78545.0,2200.3,791.6,819.1,100.5,63.9,415.9,5439.0,264.0,5175.0,3886.0,604.0,746.0,91.0,22.0,543.0,5974.0,8880.5,886.5,,,,,,,,
2001,Alameda,06001,1469484.0,1020661.0,3854.8,440.8,3455.7,4252.2,2795.4,1059.3,91455.0,2129.1,722.1,701.6,72.0,75.7,377.7,5231.0,240.0,4991.0,3613.0,634.0,752.0,104.0,25.0,512.5,5604.0,8368.3,819.9,,,,,,,,
2002,Alameda,06001,1462106.0,1017808.0,4141.2,442.5,3645.0,3805.6,2980.6,1160.7,84520.0,2228.3,760.0,709.2,65.2,96.7,406.9,5177.0,235.0,4942.0,3568.0,622.0,757.0,90.0,23.0,508.6,5363.0,8602.2,845.2,,,,,,,,
2003,Alameda,06001,1454163.0,1013418.0,4190.0,445.9,3688.3,3807.8,2978.5,1211.5,81423.0,2096.4,805.8,767.2,145.3,117.1,413.4,4851.0,197.0,4654.0,3308.0,584.0,724.0,81.0,26.0,478.7,4875.0,8402.0,829.1,2003,1836243665,452633686,24.65,45193356,15206,2066,17272
2004,Alameda,06001,1445721.0,1009491.0,4177.8,448.8,3733.7,4485.2,3031.4,1146.3,79684.0,1862.8,832.7,949.8,205.3,124.2,413.8,4847.0,226.0,4621.0,3284.0,629.0,665.0,92.0,28.0,480.1,4762.0,8471.9,839.2,2004,1649739744,473388669,28.69,46046102,15645,1654,17299
2005,Alameda,06001,1441545.0,1008446.0,3984.8,418.7,3623.6,4243.1,3084.8,899.9,66868.0,1881.8,858.0,916.1,143.1,107.0,395.1,4879.0,213.0,4666.0,3305.0,653.0,668.0,87.0,21.0,483.8,4653.0,8313.1,824.3,2005,1693220824,478118230,28.24,45387951,15671,1412,17083
2006,Alameda,06001,1444484.0,1013204.0,3975.5,403.6,3576.4,4365.0,3093.1,882.4,61664.0,2112.3,874.6,743.2,102.2,96.1,392.4,4888.0,208.0,4680.0,3333.0,653.0,635.0,87.0,22.0,482.4,4437.0,8185.2,807.9,2006,1789076569,504387652,28.19,46042673,15572,1355,16927
2007,Alameda,06001,1455715.0,1022616.0,4184.0,404.4,3711.3,4445.9,3239.5,944.5,57297.0,2216.6,922.2,729.7,85.8,93.5,409.1,4748.0,196.0,4552.0,3241.0,636.0,595.0,87.0,27.0,464.3,4295.0,8145.8,796.6,2007,1840512393,559545578,30.4,49180730,15498,1025,16523
2008,Alameda,06001,1477208.0,1037557.0,4460.2,394.6,4059.9,4340.0,3596.7,863.6,69898.0,2384.3,1045.9,766.7,79.6,90.6,429.9,4900.0,199.0,4701.0,3309.0,680.0,614.0,83.0,29.0,472.3,4557.0,8589.2,827.8,2008,1944733831,601594372,30.93,54884285,15394,830,16224
2009,Alameda,06001,1498539.0,1051949.0,4401.8,357.3,4044.2,4646.1,3647.2,754.6,67577.0,2158.2,1064.1,844.6,119.6,78.8,418.4,4744.0,177.0,4567.0,3174.0,677.0,604.0,86.0,25.0,451.0,4061.0,8421.8,800.6,2009,2031238550,602910730,29.68,58871859,14834,714,15548
