fiscal_year,entity_name,total_governmental_expenditures,public_protection_expenditures,public_protection_pct,probation_expenditures
2003,Alameda,1836243665,452633686,24.65,45193356
2003,Alpine,10476964,3363322,32.1,183073
2003,Amador,36600189,16791960,45.88,1562462
2003,Butte,274644888,74539194,27.14,6713875
2003,Calaveras,44359962,14357025,32.36,446254
2003,Colusa,33144132,10717124,32.33,887666
2003,Contra Costa,1090536559,304659477,27.94,24815240
2003,Del Norte,43246406,13823085,31.96,858917
2003,El Dorado,192952263,68959249,35.74,4366937
2003,Fresno,1007756661,244511615,24.26,22240826
2003,Glenn,57946030,14932622,25.77,1887380
2003,Humboldt,182353271,47236796,25.9,4825022
2003,Imperial,188927248,50633135,26.8,3418892
2003,Inyo,45160731,16932088,37.49,1057259
2003,Kern,904572088,307062202,33.95,18992566
2003,Kings,135795955,40976344,30.17,6244910
2003,Lake,88334116,26671700,30.19,1653022
2003,Lassen,44920047,13159881,29.3,739656
2003,Los Angeles,11090011999,3111616181,28.06,252047493
2003,Madera,126704273,37704862,29.76,3216715
2003,Marin,313153922,102575997,32.76,7521384
2003,Mariposa,38055150,12624773,33.17,824167
2003,Mendocino,146884395,37411658,25.47,3323130
2003,Merced,307150239,69799406,22.72,5208721
2003,Modoc,23332697,5105974,21.88,321526
2003,Mono,28860355,9240165,32.02,345501
2003,Monterey,509287296,141117395,27.71,11704678
2003,Napa,159549217,59014179,36.99,5886057
2003,Nevada,98042107,38061682,38.82,3063347
2003,Orange,2438863586,828464955,33.97,82527567
2003,Placer,297012595,103728468,34.92,7159961
2003,Plumas,45998076,12373451,26.9,985779
2003,Riverside,1682621455,612932719,36.43,26840601
2003,Sacramento,1931730819,535755931,27.73,28348870
2003,San Benito,53140352,15944923,30.01,1282428
2003,San Bernardino,1844224287,502110615,27.23,37740795
2003,San Diego,2674870648,794636456,29.71,80236018
2003,San Francisco,5516088939,800789472,14.52,9560879
2003,San Joaquin,660280211,183975837,27.86,14037887
2003,San Luis Obispo,295599572,87074632,29.46,3177215
2003,San Mateo,648225288,216931210,33.47,3239566
2003,Santa Barbara,531994040,195564857,36.76,19452416
2003,Santa Clara,2102820920,567430509,26.98,63139186
2003,Santa Cruz,309352967,90867337,29.37,8799980
2003,Shasta,213911123,60121762,28.11,4783041
